id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de
217,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,7,FALSE,1,284,284,5879,16,246,79,15,0.0108,13,9,10,0.0112,26444
2180,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,10,FALSE,1,202,202,5879,14,130,71,5,0.0062,9,8,5,0.0164,26444
2181,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,11,FALSE,1,285,285,5879,17,233,78,13,0.0087,18,12,14,0.0208,26444
2182,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,12,FALSE,1,295,295,5879,16,224,96,12,0.0091,20,17,13,0.0201,26444
2183,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,13,FALSE,1,274,274,5879,17,317,155,14,0.0102,19,16,12,0.0241,26444
2184,unsigned,1,TRUE,FALSE,FALSE,FALSE,combat,cor-dist,14,FALSE,1,283,283,5879,17,210,103,12,0.0092,17,14,10,0.0126,26444
2185,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,1,FALSE,1,286,286,5879,17,186,59,9,0.0075,16,12,10,0.0158,26444
2186,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,2,FALSE,1,278,278,5879,16,159,63,7,0.0088,9,6,7,0.0157,26444
2187,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,3,FALSE,1,304,304,5879,16,248,98,12,0.0092,13,10,8,0.0137,26444
2188,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,4,FALSE,1,288,288,5879,17,228,83,9,0.0065,10,7,8,0.0093,26444
2189,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,5,FALSE,1,288,288,5879,15.5,279,102,13,0.0079,8,3,8,0.0092,26444
218,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,8,FALSE,1,290,290,5879,16,232,77,15,0.0097,21,13,15,0.0119,26444
2190,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,6,FALSE,1,295,295,5879,15,287,98,12,0.0061,7,2,7,0.0095,26444
2191,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,7,FALSE,1,285,285,5879,16,235,86,13,0.0064,15,11,9,0.0099,26444
2192,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,8,FALSE,1,279,279,5879,16,205,77,15,0.0141,13,10,8,0.0129,26444
2193,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,9,FALSE,1,278,278,5879,15,156,69,9,0.0051,16,14,9,0.0183,26444
2194,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,10,FALSE,1,272,272,5879,15,231,86,12,0.0084,12,8,10,0.0081,26444
2195,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,11,FALSE,1,249,249,5879,15,209,72,12,0.0075,16,11,9,0.0103,26444
2196,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,12,FALSE,1,251,251,5879,15,262,87,11,0.0058,16,11,9,0.0085,26444
2197,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,13,FALSE,1,235,235,5879,15,276,98,13,0.0053,13,9,7,0.0149,26444
2198,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,cor,14,FALSE,1,282,282,5879,16.5,239,69,10,0.0059,11,6,9,0.0168,26444
2199,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,1,FALSE,1,286,286,5879,16,171,90,12,0.0123,10,8,8,0.0158,26444
219,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,9,FALSE,1,279,279,5879,17,225,132,14,0.0095,18,13,13,0.0168,26444
21,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,7,FALSE,1,287,287,5879,16,181,81,11,0.01,5,3,4,0.0119,26444
2200,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,2,FALSE,1,285,285,5879,16,183,69,11,0.0068,10,7,9,0.0151,26444
2201,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,3,FALSE,1,294,294,5879,16,277,101,14,0.0082,13,7,10,0.0147,26444
2202,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,4,FALSE,1,284,284,5879,16,220,109,14,0.0109,15,12,9,0.0192,26444
2203,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,5,FALSE,1,285,285,5879,16,201,80,12,0.0072,15,11,10,0.0154,26444
2204,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,6,FALSE,1,291,291,5879,15,227,104,13,0.01,14,10,10,0.0096,26444
2205,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,7,FALSE,1,275,275,5879,17,202,80,12,0.0062,13,10,10,0.0164,26444
2206,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,8,FALSE,1,273,273,5879,16,234,102,14,0.0074,13,9,9,0.0101,26444
2207,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,9,FALSE,1,265,265,5879,16,238,110,13,0.0102,11,9,8,0.0118,26444
2208,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,10,FALSE,1,263,263,5879,15,292,101,16,0.0075,13,8,11,0.0197,26444
2209,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,11,FALSE,1,241,241,5879,16,302,119,17,0.0098,14,7,13,0.0118,26444
220,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,10,FALSE,1,301,301,5879,16,295,72,16,0.0076,19,11,15,0.0159,26444
2210,unsigned,1,TRUE,FALSE,FALSE,TRUE,none,bicor,12,FALSE,1,227,227,5879,15,229,98,12,0.0077,11,8,9,0.0128,26444
