id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval
1341,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,798,798,16206,16,1082,708,82,0.0159,88,63,49,0.0137,42248,6691251.06,520.03,344,205,55,0.011
1342,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,790,790,16206,17,1133,712,70,0.0129,101,74,46,0.0127,42248,5422272.03,434.01,366,229,54,0.0125
1343,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,802,802,16206,17,1191,774,73,0.0148,100,74,43,0.018,42248,4428262.05,364.59,342,216,51,0.0112
1344,signed,1,TRUE,TRUE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,782,782,16206,17,1237,826,78,0.0141,103,81,51,0.0173,42248,3642908.64,308.12,306,193,51,0.0098
134,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,8,FALSE,1,794,794,16206,16,974,619,59,0.0118,83,62,39,0.017,42248,37111857.53,2793.42,342,189,52,0.0132
135,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,9,FALSE,1,784,784,16206,16,932,613,64,0.0109,92,63,40,0.0126,42248,31981658.99,2475.35,378,216,50,0.0123
136,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,10,FALSE,1,799,799,16206,16,852,553,58,0.0111,80,52,38,0.0105,42248,27842790.08,2211.56,382,211,46,0.0131
137,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,11,FALSE,1,822,822,16206,16,959,642,56,0.0117,81,55,37,0.0139,42248,24453450.15,1989.92,331,168,44,0.0127
138,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,12,FALSE,1,810,810,16206,16,847,588,51,0.0128,89,62,41,0.0135,42248,21641621.96,1801.59,386,193,48,0.0128
139,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,13,FALSE,1,802,802,16206,16,760,517,56,0.0116,85,59,42,0.0151,42248,19282187.03,1639.95,334,175,39,0.0119
13,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor,13,FALSE,1,796,796,16203,16,948,679,70,0.0124,106,70,41,0.0146,42248,28429534.99,2427.63,348,185,41,0.0076
140,signed,1,FALSE,FALSE,FALSE,FALSE,combat,bicor,14,FALSE,1,807,807,16206,16,832,564,55,0.0111,63,48,31,0.0163,42248,17282349.83,1500.00,312,177,37,0.014
141,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,1,FALSE,1,800,800,16206,16,686,571,60,0.0132,67,54,35,0.0143,42248,180249827.28,9994.87,337,170,55,0.0125
142,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,2,FALSE,1,768,768,16206,17,766,585,55,0.016,93,65,43,0.0145,42248,131667231.58,7737.86,308,193,49,0.0132
143,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,3,FALSE,1,798,798,16206,16,760,560,55,0.0141,80,60,38,0.0159,42248,100593408.61,6203.55,248,153,44,0.0117
