id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval
693,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,7,FALSE,1,153,153,3183,16,130,49,6,0.0045,5,4,5,0.0077,2798,0,0,0,NaN
694,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,8,FALSE,1,143,143,3183,17,169,81,9,0.0081,6,5,6,0.016,2798,0,0,0,NaN
695,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,9,FALSE,1,148,148,3183,16.5,116,48,5,0.0042,6,5,6,0.0136,2798,0,0,0,NaN
696,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,10,FALSE,1,162,162,3183,16,97,55,5,0.003,7,6,7,0.0128,2798,0,0,0,NaN
697,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,11,FALSE,1,154,154,3183,16,104,62,6,0.0039,7,6,7,0.0131,2798,0,0,0,NaN
698,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,12,FALSE,1,148,148,3183,18,145,67,9,0.0059,8,7,8,0.0127,2798,0,0,0,NaN
699,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,13,FALSE,1,155,155,3183,16,135,56,8,0.0044,7,4,7,0.0103,2798,0,0,0,NaN
69,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor,13,FALSE,1,149,149,3183,17,98,50,6,0.0053,5,4,5,0.0256,2798,1,1,1,0.0058
6,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor,6,FALSE,1,164,164,3183,15,204,94,14,0.0094,5,2,5,0.0069,2798,0,0,0,NaN
700,signed,1,TRUE,FALSE,FALSE,FALSE,none,bicor,14,FALSE,1,153,153,3183,16,145,61,9,0.0046,7,5,7,0.0086,2798,0,0,0,NaN
701,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,1,FALSE,1,148,148,3183,17,122,71,8,0.0106,8,7,8,0.0207,2798,0,0,0,NaN
702,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,2,FALSE,1,154,154,3183,16,99,48,4,0.0045,7,6,7,0.0153,2798,0,0,0,NaN
703,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,3,FALSE,1,149,149,3183,17,83,56,5,0.0047,5,5,5,0.0175,2798,2,2,1,0.0085
704,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,4,FALSE,1,152,152,3183,16,134,56,6,0.0027,7,5,7,0.0106,2798,0,0,0,NaN
705,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,5,FALSE,1,150,150,3183,16.5,76,55,5,0.0053,6,6,6,0.0171,2798,1,1,1,0.0302
706,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,6,FALSE,1,154,154,3183,17,124,52,5,0.0048,9,7,9,0.0124,2798,1,1,1,0.0477
707,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,7,FALSE,1,149,149,3183,17,119,46,4,0.0021,7,5,7,0.0122,2798,0,0,0,NaN
708,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,8,FALSE,1,153,153,3183,16,121,48,4,0.0026,6,4,6,0.0088,2798,0,0,0,NaN
709,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,9,FALSE,1,155,155,3183,16,129,57,7,0.0048,5,3,5,0.0084,2798,0,0,0,NaN
70,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor,14,FALSE,1,148,148,3183,18,103,55,7,0.006,3,2,3,0.0144,2798,1,1,1,0.0058
710,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,10,FALSE,1,149,149,3183,17,134,50,7,0.0065,5,3,5,0.0111,2798,0,0,0,NaN
711,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,11,FALSE,1,148,148,3183,16,139,85,7,0.0079,3,3,3,0.0267,2798,0,0,0,NaN
712,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,12,FALSE,1,151,151,3183,16,148,55,6,0.0063,6,5,6,0.0156,2798,2,2,2,0.0367
713,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,13,FALSE,1,149,149,3183,17,119,56,7,0.0066,3,3,3,0.0069,2798,1,1,1,0.0271
714,signed,1,TRUE,FALSE,FALSE,FALSE,none,spearman,14,FALSE,1,156,156,3183,16.5,126,48,6,0.007,4,3,4,0.0129,2798,0,0,0,NaN
