id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
246,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,8,FALSE,1,444,444,29219,37,1996,1752,28,0.0087,9080.09529099098,114,103,18,0.014,324.477313932065,55119,23222159.70,28499.94,700,604,25,0.0129,2855.70955964043,398,187,25,0.0194,873.652872947526
247,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,9,FALSE,1,492,492,29219,35,2224,1637,37,0.0093,9451.87638201196,127,110,27,0.0148,355.838632120177,55119,17932088.24,24777.28,740,624,32,0.0143,2853.39713182776,387,229,37,0.0221,813.113481102982
248,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,10,FALSE,1,510,510,29219,33,2222,1690,36,0.0098,9132.50899353253,74,62,19,0.0123,253.667344366596,55119,14188261.44,21790.43,603,474,28,0.0104,2644.91019732299,432,204,36,0.0194,933.366026654295
249,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,11,FALSE,1,559,559,29219,31,2083,1647,41,0.0101,8753.61287013252,67,55,25,0.0111,224.842308492282,55119,11463227.07,19347.92,650,474,29,0.0109,2690.33253570216,290,175,40,0.0197,645.476660140032
24,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,10,FALSE,1,311,311,29109,35,2534,1952,31,0.008,12096.5663452019,87,75,18,0.0077,368.222993675402,55119,90385921.91,129226.32,835,676,28,0.0099,3402.24447198669,415,252,21,0.0156,1272.4845968642
250,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,12,FALSE,1,599,599,29219,29,2072,1614,36,0.01,8441.81512696345,87,66,20,0.0111,274.380126319792,55119,9429540.29,17318.67,665,491,25,0.0093,2664.71004274484,314,180,34,0.0181,729.578625807694
251,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,13,FALSE,1,687,687,29219,27,1900,1504,41,0.0101,7883.37335867781,88,70,25,0.0137,269.93741031524,55119,7877711.82,15610.07,718,544,33,0.0115,2741.70945656284,447,214,34,0.0218,935.571331558306
252,signed,1,FALSE,FALSE,FALSE,TRUE,limma,bicor,14,FALSE,1,761,761,29219,25,1686,1368,38,0.0095,7273.74311053669,80,66,22,0.0133,244.599559952937,55119,6669978.47,14154.91,702,560,34,0.0119,2640.92703221346,370,196,39,0.0208,801.489278574257
253,signed,1,FALSE,FALSE,FALSE,TRUE,limma,spearman,1,FALSE,1,467,467,29219,39,1884,1514,22,0.009,8157.02369979035,61,52,18,0.015,199.527973847596,55119,429475409.38,169417.77,569,463,15,0.0078,2374.47362093207,347,223,33,0.0166,1146.01337731595
254,signed,1,FALSE,FALSE,FALSE,TRUE,limma,spearman,2,FALSE,1,459,459,29219,37,1964,1547,22,0.0085,8470.97109640069,80,70,17,0.0132,243.148137108901,55119,239242465.99,109546.44,605,498,23,0.0104,2495.76653771686,478,264,28,0.0167,1489.26970422525
255,signed,1,FALSE,FALSE,FALSE,TRUE,limma,spearman,3,FALSE,1,446,446,29219,37,2045,1562,29,0.0098,8169.68851967987,85,75,17,0.0105,253.161979897638,55119,143765272.35,78640.62,639,496,19,0.01,2325.82994832237,566,250,34,0.016,1588.22785175836
